Title|SubTitle|Author|Date|nComments|DateExtraction|URL
Bloober Team revela já estar trabalhando em um novo projeto|Recentemente os poloneses lançaram The Medium|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 10:09|100|03/02/2021 20:45:24|https://www.gamevicio.com/noticias/2021/02/bloober-team-revela-ja-estar-trabalhando-em-um-novo-projeto/
Electronic Arts diz que está trabalhando em mais de 35 jogos diferentes para PC, Consoles e Mobile|Onde englobam seus EA Worldwide Studios e EA Originals|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 09:48|82|03/02/2021 20:45:37|https://www.gamevicio.com/noticias/2021/02/electronic-arts-diz-que-esta-trabalhando-em-mais-de-35-jogos-diferentes-para-pc-consoles-e-mobile/
Final Fantasy VII Remake Parte 2: Segundo produtor, equipe quer que game corresponda às expectativas dos fãs, mas também os confunda, no bom sentido|A segunda parte está com o desenvolvimento bem adiantado|squid-orange|Quarta, 03 de fevereiro de 2021 às 09:47|135|03/02/2021 20:45:51|https://www.gamevicio.com/noticias/2021/02/final-fantasy-vii-remake-parte-2-segundo-produtor-equipe-quer-que-game-corresponda-as-expectativas-dos-fas-mas-tambem-os-confunda-no-bom-sentido/
Activision Blizzard bane 60.000 cheaters de Call of Duty: Warzone|Isso eleva o número total de banimentos permanentes do título para 300.000|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 09:42|66|03/02/2021 20:46:03|https://www.gamevicio.com/noticias/2021/02/activision-blizzard-bane-60-000-cheaters-de-call-of-duty-warzone/
FIFA 21 - Update 1.12 já está disponível nos PCs e Consoles|Confira as novidades do título da Electronic Arts no selo EA Sports|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 09:37|12|03/02/2021 20:46:15|https://www.gamevicio.com/noticias/2021/02/fifa-21-update-1-12-ja-esta-disponivel-nos-pcs-e-consoles/
Fall Guys - Season 3.5 já está disponível globalmente|Novo trailer revela o novo personagem do jogo da Mediatonic e Devolver Digital|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 09:34|14|03/02/2021 20:46:28|https://www.gamevicio.com/noticias/2021/02/fall-guys-season-3-5-ja-esta-disponivel-globalmente/
"Conheça ""Revita"" game roquelike de exploração de calabouços desenvolvido por uma única pessoa está chegando ao PC via Steam"|Com várias características interessantes game te leva a um mundo procedural onde você pode personalizar sua aventura de várias maneiras|Allan Kardec|Quarta, 03 de fevereiro de 2021 às 09:32|15|03/02/2021 20:46:43|https://www.gamevicio.com/noticias/2021/02/conheca-revita-game-roquelike-de-exploracao-de-calaboucos-desenvolvido-por-uma-unica-pessoa-esta-chegando-ao-pc-via-steam/
Fatshark fala sobre a exclusividade de Warhammer: 40.000 - Darktide nos Xbox Series X-S|“Trabalhamos com a Microsoft há muitos anos e eles são um grande parceiro”, afirma a desenvolvedora|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:47|18|03/02/2021 20:46:57|https://www.gamevicio.com/noticias/2021/02/fatshark-fala-sobre-a-exclusividade-de-warhammer-40-000-darktide-nos-xbox-series-x-s/
Electronic Arts revela que seu serviço de assinatura EA Play chegou na marca de 13 milhões de jogadores|Ganhou uma grande impulsão desde que chegou no Xbox Game Pass|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:40|91|03/02/2021 20:47:17|https://www.gamevicio.com/noticias/2021/02/electronic-arts-revela-que-seu-servico-de-assinatura-ea-play-chegou-na-marca-de-13-milhoes-de-jogadores/
NieR: Re[in]carnation - Yoko Taro, pai da série NieR, diz que nunca gastou 1 centavo com Loot-Boxes ou Gaccha|Novo título Mobile da franquia chegará ainda em 2021|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:35|29|03/02/2021 20:47:29|https://www.gamevicio.com/noticias/2021/02/nier-re-in-carnation-yoko-taro-pai-da-serie-nier-diz-que-nunca-gastou-1-centavo-com-loot-boxes-ou-gaccha/
PS5 - Nova atualização do console já está disponível, corrigindo bug de instalação do PS4|Novo Update pesa menos de 1 GB|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:27|28|03/02/2021 20:47:42|https://www.gamevicio.com/noticias/2021/02/ps5-nova-atualizacao-do-console-ja-esta-disponivel-corrigindo-bug-de-instalacao-do-ps4/
Little Nightmares II e Super Mario 3D World + Bowser's Fury recebem suas notas da crítica pela Famitsu|Ótimas avaliações para os 2 títulos|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:12|67|03/02/2021 20:47:57|https://www.gamevicio.com/noticias/2021/02/little-nightmares-ii-e-super-mario-3d-world-bowser-s-fury-recebem-suas-notas-da-critica-pela-famitsu/
Gearbox Software emite uma carta de declaração explicando porque decidiu se vender para a Embracer Group por US$ 1,3 Bilhão|A gigante de Borderlands e Brothers in Arms agora faz parte da THQ Nordic, Deep Silver e outros|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:01|16|03/02/2021 20:48:12|https://www.gamevicio.com/noticias/2021/02/gearbox-software-emite-uma-carta-de-declaracao-explicando-porque-decidiu-se-vender-para-a-embracer-group-por-us-1-3-bilhao/
Electronic Arts diz que vê um potencial enorme de ser líder no mercado de jogos de corrida ao adquirir a Codemasters|A compra de US$ 1.2 Bilhão trará todo o catálogo de IPs da Codies para a Electronic Arts|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 07:47|80|03/02/2021 20:48:27|https://www.gamevicio.com/noticias/2021/02/electronic-arts-diz-que-ve-um-potencial-enorme-de-ser-lider-no-mercado-de-jogos-de-corrida-ao-adquirir-a-codemasters/
Sony diz ter interesse de criar uma sinergia entre Animes e Jogos com o PS5, PS4 e Crunchyroll|Mais jogos baseados em animes chegando ao mercado?|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 07:37|85|03/02/2021 20:48:39|https://www.gamevicio.com/noticias/2021/02/sony-diz-ter-interesse-de-criar-uma-sinergia-entre-animes-e-jogos-com-o-ps5-ps4-e-crunchyroll/
Team Ninja está interessada em adicionar um mundo aberto ao próximo Nioh|O jogo se passar durante os Três Reinos da China também é uma possibilidade!|Vinicius|Quarta, 03 de fevereiro de 2021 às 15:17|44|03/02/2021 20:48:51|https://www.gamevicio.com/noticias/2021/02/team-ninja-esta-interessada-em-adicionar-um-mundo-aberto-ao-proximo-nioh/
Conheça Blind Drive, um jogo para se jogar com os olhos fechados|Jogo ganha demo no Steam!|Vinicius|Quarta, 03 de fevereiro de 2021 às 14:51|20|03/02/2021 20:49:04|https://www.gamevicio.com/noticias/2021/02/conheca-blind-drive-um-jogo-para-se-jogar-com-os-olhos-fechados/
Jade Raymond fala sobre sua saída do Google e do fechamanto da Stadia Games & Entertainment|A lendária diretora de Assassin's Creed e Splinter Cell recentemente deixou a Google|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 14:37|72|03/02/2021 20:49:20|https://www.gamevicio.com/noticias/2021/02/jade-raymond-fala-sobre-sua-saida-do-google-e-do-fechamanto-da-stadia-games-e-entertainment/
Electronic Arts diz que planeja lançar pelo menos 1 jogo de corrida todos os anos|Após finalizar a aquisição da Codemasters|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 14:05|57|03/02/2021 20:49:34|https://www.gamevicio.com/noticias/2021/02/electronic-arts-diz-que-planeja-lancar-pelo-menos-1-jogo-de-corrida-todos-os-anos/
Nos últimos 12 meses, 64% dos jogos da EA no PS4 e Xbox One foram vendidos no formato digital|Um aumento de 49% em relação ao mesmo período anterior|Renatito|Quarta, 03 de fevereiro de 2021 às 13:33|23|03/02/2021 20:49:46|https://www.gamevicio.com/noticias/2021/02/nos-ultimos-12-meses-64-dos-jogos-da-ea-no-ps4-e-xbox-one-foram-vendidos-no-formato-digital/
Control Ultimate Edition - a experiência da próxima geração em comparação com os consoles PS5 e Xbox|É bem próxima...|Alvarenga|Quarta, 03 de fevereiro de 2021 às 12:24|209|03/02/2021 20:50:00|https://www.gamevicio.com/noticias/2021/02/control-ultimate-edition-a-experiencia-da-proxima-geracao-em-comparacao-com-os-consoles-ps5-e-xbox/
Total War: Warhammer 3 é oficialmente anunciado pela SEGA Europe e Creative Assembly|Chegando em 2021 para PCs na Steam e Epic Games Store|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 12:22|41|03/02/2021 20:50:12|https://www.gamevicio.com/noticias/2021/02/total-war-warhammer-3-e-oficialmente-anunciado-pela-sega-europe-e-creative-assembly/
Microsoft havia tentado adquirir a Gearbox Software antes da Embracer Group|As 2 estavam na disputa pelo estúdio, adquirido por US$ 1,3 Bilhões pela empresa-mãe da THQ Nordic|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 12:13|181|03/02/2021 20:50:26|https://www.gamevicio.com/noticias/2021/02/microsoft-havia-tentado-adquirir-a-gearbox-software-antes-da-embracer-group/
Square Enix registra aumento na receita trimestral da empresa, porém os lucros ficaram abaixo do esperado|Square Enix Europe e Marvel's Avengers continuam sendo o maior empecilho da editora Japonesa|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 12:01|62|03/02/2021 20:50:39|https://www.gamevicio.com/noticias/2021/02/square-enix-registra-aumento-na-receita-trimestral-da-empresa-porem-os-lucros-ficaram-abaixo-do-esperado/
Gearbox continuará trabalhando com a 2K na franquia Borderlands|Aquisição da Gearbox pela Embracer não irá alterar o desenvolvimento da franquia.|Vinicius|Quarta, 03 de fevereiro de 2021 às 11:37|17|03/02/2021 20:50:51|https://www.gamevicio.com/noticias/2021/02/gearbox-continuara-trabalhando-com-a-2k-na-franquia-borderlands/
Bloober Team revela já estar trabalhando em um novo projeto|Recentemente os poloneses lançaram The Medium|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 10:09|100|03/02/2021 22:32:18|https://www.gamevicio.com/noticias/2021/02/bloober-team-revela-ja-estar-trabalhando-em-um-novo-projeto/
Electronic Arts diz que está trabalhando em mais de 35 jogos diferentes para PC, Consoles e Mobile|Onde englobam seus EA Worldwide Studios e EA Originals|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 09:48|82|03/02/2021 22:32:32|https://www.gamevicio.com/noticias/2021/02/electronic-arts-diz-que-esta-trabalhando-em-mais-de-35-jogos-diferentes-para-pc-consoles-e-mobile/
Final Fantasy VII Remake Parte 2: Segundo produtor, equipe quer que game corresponda às expectativas dos fãs, mas também os confunda, no bom sentido|A segunda parte está com o desenvolvimento bem adiantado|squid-orange|Quarta, 03 de fevereiro de 2021 às 09:47|135|03/02/2021 22:32:46|https://www.gamevicio.com/noticias/2021/02/final-fantasy-vii-remake-parte-2-segundo-produtor-equipe-quer-que-game-corresponda-as-expectativas-dos-fas-mas-tambem-os-confunda-no-bom-sentido/
Activision Blizzard bane 60.000 cheaters de Call of Duty: Warzone|Isso eleva o número total de banimentos permanentes do título para 300.000|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 09:42|67|03/02/2021 22:32:59|https://www.gamevicio.com/noticias/2021/02/activision-blizzard-bane-60-000-cheaters-de-call-of-duty-warzone/
FIFA 21 - Update 1.12 já está disponível nos PCs e Consoles|Confira as novidades do título da Electronic Arts no selo EA Sports|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 09:37|12|03/02/2021 22:33:14|https://www.gamevicio.com/noticias/2021/02/fifa-21-update-1-12-ja-esta-disponivel-nos-pcs-e-consoles/
Fall Guys - Season 3.5 já está disponível globalmente|Novo trailer revela o novo personagem do jogo da Mediatonic e Devolver Digital|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 09:34|14|03/02/2021 22:33:27|https://www.gamevicio.com/noticias/2021/02/fall-guys-season-3-5-ja-esta-disponivel-globalmente/
"Conheça ""Revita"" game roquelike de exploração de calabouços desenvolvido por uma única pessoa está chegando ao PC via Steam"|Com várias características interessantes game te leva a um mundo procedural onde você pode personalizar sua aventura de várias maneiras|Allan Kardec|Quarta, 03 de fevereiro de 2021 às 09:32|15|03/02/2021 22:33:40|https://www.gamevicio.com/noticias/2021/02/conheca-revita-game-roquelike-de-exploracao-de-calaboucos-desenvolvido-por-uma-unica-pessoa-esta-chegando-ao-pc-via-steam/
Fatshark fala sobre a exclusividade de Warhammer: 40.000 - Darktide nos Xbox Series X-S|“Trabalhamos com a Microsoft há muitos anos e eles são um grande parceiro”, afirma a desenvolvedora|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:47|18|03/02/2021 22:33:53|https://www.gamevicio.com/noticias/2021/02/fatshark-fala-sobre-a-exclusividade-de-warhammer-40-000-darktide-nos-xbox-series-x-s/
Electronic Arts revela que seu serviço de assinatura EA Play chegou na marca de 13 milhões de jogadores|Ganhou uma grande impulsão desde que chegou no Xbox Game Pass|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:40|91|03/02/2021 22:34:06|https://www.gamevicio.com/noticias/2021/02/electronic-arts-revela-que-seu-servico-de-assinatura-ea-play-chegou-na-marca-de-13-milhoes-de-jogadores/
NieR: Re[in]carnation - Yoko Taro, pai da série NieR, diz que nunca gastou 1 centavo com Loot-Boxes ou Gaccha|Novo título Mobile da franquia chegará ainda em 2021|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:35|29|03/02/2021 22:34:20|https://www.gamevicio.com/noticias/2021/02/nier-re-in-carnation-yoko-taro-pai-da-serie-nier-diz-que-nunca-gastou-1-centavo-com-loot-boxes-ou-gaccha/
PS5 - Nova atualização do console já está disponível, corrigindo bug de instalação do PS4|Novo Update pesa menos de 1 GB|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:27|33|03/02/2021 22:34:32|https://www.gamevicio.com/noticias/2021/02/ps5-nova-atualizacao-do-console-ja-esta-disponivel-corrigindo-bug-de-instalacao-do-ps4/
Little Nightmares II e Super Mario 3D World + Bowser's Fury recebem suas notas da crítica pela Famitsu|Ótimas avaliações para os 2 títulos|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:12|67|03/02/2021 22:34:45|https://www.gamevicio.com/noticias/2021/02/little-nightmares-ii-e-super-mario-3d-world-bowser-s-fury-recebem-suas-notas-da-critica-pela-famitsu/
Gearbox Software emite uma carta de declaração explicando porque decidiu se vender para a Embracer Group por US$ 1,3 Bilhão|A gigante de Borderlands e Brothers in Arms agora faz parte da THQ Nordic, Deep Silver e outros|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 08:01|16|03/02/2021 22:34:57|https://www.gamevicio.com/noticias/2021/02/gearbox-software-emite-uma-carta-de-declaracao-explicando-porque-decidiu-se-vender-para-a-embracer-group-por-us-1-3-bilhao/
Electronic Arts diz que vê um potencial enorme de ser líder no mercado de jogos de corrida ao adquirir a Codemasters|A compra de US$ 1.2 Bilhão trará todo o catálogo de IPs da Codies para a Electronic Arts|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 07:47|80|03/02/2021 22:35:10|https://www.gamevicio.com/noticias/2021/02/electronic-arts-diz-que-ve-um-potencial-enorme-de-ser-lider-no-mercado-de-jogos-de-corrida-ao-adquirir-a-codemasters/
Sony diz ter interesse de criar uma sinergia entre Animes e Jogos com o PS5, PS4 e Crunchyroll|Mais jogos baseados em animes chegando ao mercado?|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 07:37|85|03/02/2021 22:35:22|https://www.gamevicio.com/noticias/2021/02/sony-diz-ter-interesse-de-criar-uma-sinergia-entre-animes-e-jogos-com-o-ps5-ps4-e-crunchyroll/
Nintendo praticamente erradicou a marca Playstation no Japão, afirma analista|99% dos jogos vendidos em Janeiro desse ano no mercado Japonês foram para Swtich.|Vinicius|Quarta, 03 de fevereiro de 2021 às 15:37|295|03/02/2021 22:35:38|https://www.gamevicio.com/noticias/2021/02/nintendo-praticamente-erradicou-a-marca-playstation-no-japao-afirma-analista/
Battlefield 6 contará com mapas gigantes e muitas formas de personalização, diz Electronic Arts|Estamos muito perto da revelação do título da DICE|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 15:29|55|03/02/2021 22:35:52|https://www.gamevicio.com/noticias/2021/02/battlefield-6-contara-com-mapas-gigantes-e-muitas-formas-de-personalizacao-diz-electronic-arts/
Team Ninja está interessada em adicionar um mundo aberto ao próximo Nioh|O jogo se passar durante os Três Reinos da China também é uma possibilidade!|Vinicius|Quarta, 03 de fevereiro de 2021 às 15:17|45|03/02/2021 22:36:04|https://www.gamevicio.com/noticias/2021/02/team-ninja-esta-interessada-em-adicionar-um-mundo-aberto-ao-proximo-nioh/
Conheça Blind Drive, um jogo para se jogar com os olhos fechados|Jogo ganha demo no Steam!|Vinicius|Quarta, 03 de fevereiro de 2021 às 14:51|20|03/02/2021 22:36:18|https://www.gamevicio.com/noticias/2021/02/conheca-blind-drive-um-jogo-para-se-jogar-com-os-olhos-fechados/
Jade Raymond fala sobre sua saída do Google e do fechamanto da Stadia Games & Entertainment|A lendária diretora de Assassin's Creed e Splinter Cell recentemente deixou a Google|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 14:37|74|03/02/2021 22:36:31|https://www.gamevicio.com/noticias/2021/02/jade-raymond-fala-sobre-sua-saida-do-google-e-do-fechamanto-da-stadia-games-e-entertainment/
Electronic Arts diz que planeja lançar pelo menos 1 jogo de corrida todos os anos|Após finalizar a aquisição da Codemasters|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 14:05|57|03/02/2021 22:36:44|https://www.gamevicio.com/noticias/2021/02/electronic-arts-diz-que-planeja-lancar-pelo-menos-1-jogo-de-corrida-todos-os-anos/
Nos últimos 12 meses, 64% dos jogos da EA no PS4 e Xbox One foram vendidos no formato digital|Um aumento de 49% em relação ao mesmo período anterior|Renatito|Quarta, 03 de fevereiro de 2021 às 13:33|23|03/02/2021 22:36:58|https://www.gamevicio.com/noticias/2021/02/nos-ultimos-12-meses-64-dos-jogos-da-ea-no-ps4-e-xbox-one-foram-vendidos-no-formato-digital/
Control Ultimate Edition - a experiência da próxima geração em comparação com os consoles PS5 e Xbox|É bem próxima...|Alvarenga|Quarta, 03 de fevereiro de 2021 às 12:24|220|03/02/2021 22:37:14|https://www.gamevicio.com/noticias/2021/02/control-ultimate-edition-a-experiencia-da-proxima-geracao-em-comparacao-com-os-consoles-ps5-e-xbox/
Total War: Warhammer 3 é oficialmente anunciado pela SEGA Europe e Creative Assembly|Chegando em 2021 para PCs na Steam e Epic Games Store|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 12:22|43|03/02/2021 22:37:25|https://www.gamevicio.com/noticias/2021/02/total-war-warhammer-3-e-oficialmente-anunciado-pela-sega-europe-e-creative-assembly/
Microsoft havia tentado adquirir a Gearbox Software antes da Embracer Group|As 2 estavam na disputa pelo estúdio, adquirido por US$ 1,3 Bilhões pela empresa-mãe da THQ Nordic|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 12:13|181|03/02/2021 22:37:38|https://www.gamevicio.com/noticias/2021/02/microsoft-havia-tentado-adquirir-a-gearbox-software-antes-da-embracer-group/
Square Enix registra aumento na receita trimestral da empresa, porém os lucros ficaram abaixo do esperado|Square Enix Europe e Marvel's Avengers continuam sendo o maior empecilho da editora Japonesa|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 12:01|62|03/02/2021 22:37:51|https://www.gamevicio.com/noticias/2021/02/square-enix-registra-aumento-na-receita-trimestral-da-empresa-porem-os-lucros-ficaram-abaixo-do-esperado/
Gearbox continuará trabalhando com a 2K na franquia Borderlands|Aquisição da Gearbox pela Embracer não irá alterar o desenvolvimento da franquia.|Vinicius|Quarta, 03 de fevereiro de 2021 às 11:37|18|03/02/2021 22:38:03|https://www.gamevicio.com/noticias/2021/02/gearbox-continuara-trabalhando-com-a-2k-na-franquia-borderlands/
Experiment 101 diz que fãs de Zelda: Breath of the Wild e Middle-Earth: Shadow of Mordor devem gostar de BioMutant|Estúdio diz que se inspirou bastante nessas obras da Nintendo e Warner Bros. Games|Billy Butcher|Quarta, 03 de fevereiro de 2021 às 15:38|40|04/02/2021 00:00:50|https://www.gamevicio.com/noticias/2021/02/experiment-101-diz-que-fas-de-zelda-breath-of-the-wild-e-middle-earth-shadow-of-mordor-devem-gostar-de-biomutant/
European Gaming e a Stashbird fazem uma lista com os 10 personagens mais populares dos videogames|Venha conferir os que ficaram no Ranking de Top 10|Billy Butcher|Quinta, 04 de fevereiro de 2021 às 10:10|156|04/02/2021 22:03:51|https://www.gamevicio.com/noticias/2021/02/european-gaming-e-a-stashbird-fazem-uma-lista-com-os-10-personagens-mais-populares-dos-videogames/
Scars of Honor: Conheça este ambicioso novo projeto indie de um MMORPG|Game criado por amantes de MMORPG pode ser um destaque no gênero sendo um game criado junto com sua comunidade|Allan Kardec|Quinta, 04 de fevereiro de 2021 às 10:05|17|04/02/2021 22:04:04|https://www.gamevicio.com/noticias/2021/02/scars-of-honor-conheca-este-ambicioso-novo-projeto-indie-de-um-mmorpg/
Stubbs the Zombie será relançado para os Xbox Series X-S e Xbox One em 16 de Março|É um antigo exclusivo de Xbox Original e PC lançado pela Aspyr Media|Billy Butcher|Quinta, 04 de fevereiro de 2021 às 10:01|24|04/02/2021 22:04:17|https://www.gamevicio.com/noticias/2021/02/stubbs-the-zombie-sera-relancado-para-os-xbox-series-x-s-e-xbox-one-em-16-de-marco/
